content_hash,kept_source_file,duplicate_source_file,reason
6a2a01b307ccba8417703cbf3244310962de77d4e5925b51574332ff2fb92eda,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 05-2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 05-2025__copy3.pdf,Same file hash.
0753cf67c0eac876b3764efa1157437ef8d0c2ecf54df9cffec22533077957d1,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 06-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 06-2024__copy2.pdf,Same file hash.
0753cf67c0eac876b3764efa1157437ef8d0c2ecf54df9cffec22533077957d1,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 06-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 06-2024__copy3.pdf,Same file hash.
744700b2581fca4e85b2e28c057dcd19b00c8deebf010c91e8099c7aab32c729,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 06-2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 06-2025__copy2.pdf,Same file hash.
744700b2581fca4e85b2e28c057dcd19b00c8deebf010c91e8099c7aab32c729,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 06-2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 06-2025__copy3.pdf,Same file hash.
8f7a09f5b34243c4191ef1c32ad64eae576845d3105db7f9dcb7286645459374,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 07-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 07-2024__copy2.pdf,Same file hash.
8f7a09f5b34243c4191ef1c32ad64eae576845d3105db7f9dcb7286645459374,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 07-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 07-2024__copy3.pdf,Same file hash.
f4038ab0c115b1d729105a20b0912414eec7ab24d469da45c38f3d8d8433b6a9,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 08-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 08-2024__copy2.pdf,Same file hash.
f4038ab0c115b1d729105a20b0912414eec7ab24d469da45c38f3d8d8433b6a9,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 08-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 08-2024__copy3.pdf,Same file hash.
0602637bb58176c70218e2a35425402305b49b11bc4effc24c7c5ff43abefaca,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 09-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 09-2024__copy2.pdf,Same file hash.
0602637bb58176c70218e2a35425402305b49b11bc4effc24c7c5ff43abefaca,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 09-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 09-2024__copy3.pdf,Same file hash.
613d7784c7a1dcb9b573f7775b064301e3f7a6fe48d53a131a07978d9ac40a7d,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 10-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 10-2024__copy2.pdf,Same file hash.
